,genename,length,group,Cpg_number,log_gene_length,log_CpG,promoter_CpG_number,log_promoter_CpG
1193,Zdhhc2,"86,455",Group1,782,4.94,2.89,76,1.88
1194,Cntn5,"1,243,886",Group1,"6,103",6.09,3.79,40,1.6
1195,Znfx1,"27,224",Group1,439,4.43,2.64,59,1.77
1196,Cyp7b1,"171,390",Group1,980,5.23,2.99,26,1.41
1197,Tusc3,"159,271",Group1,938,5.2,2.97,21,1.32
1198,Sgcz,"1,139,212",Group1,"5,079",6.06,3.71,11,1.04
1199,Ajap1,"109,592",Group1,"1,811",5.04,3.26,95,1.98
1200,Nphp4,"86,479",Group1,"1,922",4.94,3.28,27,1.43
1201,Myo9a,"177,972",Group1,918,5.25,2.96,65,1.81
1202,Rcan2,"238,167",Group1,"2,084",5.38,3.32,23,1.36
1203,Rbms3,"1,057,169",Group1,"9,556",6.02,3.98,32,1.51
1204,Prex1,"147,492",Group1,"2,328",5.17,3.37,70,1.85
1205,Strip2,"42,671",Group1,381,4.63,2.58,48,1.68
1206,Lonrf1,"33,454",Group1,669,4.52,2.83,42,1.62
1207,Cpeb3,"187,312",Group1,"1,787",5.27,3.25,22,1.34
1208,Sdk1,"974,098",Group1,"8,880",5.99,3.95,94,1.97
1209,Zer1,"27,304",Group1,364,4.44,2.56,34,1.53
1210,Ncoa7,"174,329",Group1,"1,133",5.24,3.05,29,1.46
1211,Nploc4,"57,340",Group1,578,4.76,2.76,37,1.57
1212,Ldb2,"327,550",Group1,"2,437",5.52,3.39,15,1.18
1213,Plekhg5,"42,904",Group1,795,4.63,2.9,30,1.48
1214,Dock3,"339,086",Group1,"2,218",5.53,3.35,47,1.67
1215,Ralyl,"710,634",Group1,"3,613",5.85,3.56,50,1.7
1216,Fnbp1l,"80,998",Group1,659,4.91,2.82,81,1.91
1217,Fbxl5,"77,025",Group1,727,4.89,2.86,39,1.59
1218,Cc2d2a,"78,628",Group1,741,4.9,2.87,15,1.18
1219,Gabbr2,"329,570",Group1,"4,473",5.52,3.65,65,1.81
1220,Rapgef1,"121,260",Group1,"1,260",5.08,3.1,49,1.69
1221,Srrm3,"67,884",Group1,"1,043",4.83,3.02,30,1.48
1222,9130011E15Rik,"180,346",Group1,"1,759",5.26,3.25,36,1.56
1223,Pak7,"306,865",Group1,"1,741",5.49,3.24,21,1.32
1224,Plcb4,"355,584",Group1,"3,796",5.55,3.58,42,1.62
1225,Clstn1,"62,433",Group1,"1,095",4.8,3.04,74,1.87
1226,Hip1,"138,591",Group1,"1,969",5.14,3.29,56,1.75
1227,Magi2,"1,477,758",Group1,"9,550",6.17,3.98,80,1.9
1228,Gnaz,"49,732",Group1,903,4.7,2.96,65,1.81
1229,Disp2,"31,576",Group1,332,4.5,2.52,33,1.52
1230,Negr1,"754,653",Group1,"4,209",5.88,3.62,83,1.92
1231,Ift88,"93,876",Group1,753,4.97,2.88,31,1.49
1232,Gramd1b,"238,152",Group1,"2,772",5.38,3.44,38,1.58
1233,Cacna2d1,"439,822",Group1,"3,009",5.64,3.48,75,1.88
1234,Abcc8,"75,512",Group1,"1,181",4.88,3.07,34,1.53
1235,Hs2st1,"140,477",Group1,"1,758",5.15,3.25,81,1.91
1236,Arntl2,"37,476",Group1,455,4.57,2.66,48,1.68
1237,Zfp704,"183,067",Group1,"2,435",5.26,3.39,30,1.48
1238,Prrc2c,"69,833",Group1,582,4.84,2.76,42,1.62
1239,Lrp1,"82,989",Group1,"1,667",4.92,3.22,62,1.79
1240,Dnm3,"495,583",Group1,"4,500",5.7,3.65,29,1.46
1241,Bach2,"347,306",Group1,"4,219",5.54,3.63,83,1.92
1242,Pacsin1,"55,975",Group1,968,4.75,2.99,57,1.76
1243,RP23-297K24.1,"197,054",Group1,"1,589",5.29,3.2,49,1.69
1244,Klhl32,"238,572",Group1,"1,837",5.38,3.26,33,1.52
1245,Wdr47,"54,442",Group1,453,4.74,2.66,25,1.4
1246,Akap9,"153,258",Group1,"1,571",5.19,3.2,22,1.34
1247,Cdh18,"925,398",Group1,"4,996",5.97,3.7,6,0.78
1248,Pitpnc1,"262,809",Group1,"3,707",5.42,3.57,38,1.58
1249,Zbtb38,"70,063",Group1,"1,140",4.85,3.06,34,1.53
1250,Spns2,"38,268",Group1,526,4.58,2.72,64,1.81
1251,Sgms1,"266,989",Group1,"3,031",5.43,3.48,36,1.56
1252,Cdh12,"1,140,270",Group1,"5,647",6.06,3.75,19,1.28
1253,Usp45,"70,718",Group1,671,4.85,2.83,30,1.48
1254,Lrfn2,"165,211",Group1,"1,678",5.22,3.22,78,1.89
1255,Ambra1,"188,717",Group1,"1,202",5.28,3.08,18,1.26
1256,Necab1,"197,551",Group1,"1,327",5.3,3.12,19,1.28
1257,Adam22,"295,810",Group1,"2,302",5.47,3.36,30,1.48
1258,Pitpnm3,"88,252",Group1,"1,008",4.95,3,69,1.84
1259,Tex2,"111,278",Group1,"1,633",5.05,3.21,31,1.49
1260,Wdr7,"281,067",Group1,"2,690",5.45,3.43,26,1.41
1261,Btaf1,"86,675",Group1,686,4.94,2.84,33,1.52
1262,Rundc3b,"132,620",Group1,852,5.12,2.93,38,1.58
1263,RP23-42N14.3,"169,638",Group1,"1,370",5.23,3.14,16,1.2
1264,Kazn,"137,013",Group1,"2,021",5.14,3.31,34,1.53
1265,Erc2,"856,111",Group1,"6,284",5.93,3.8,40,1.6
1266,Ppip5k2,"64,365",Group1,602,4.81,2.78,47,1.67
1267,Ppp1r14c,"98,920",Group1,754,5,2.88,28,1.45
1268,Mthfd1l,"193,965",Group1,"2,366",5.29,3.37,33,1.52
1269,Madd,"46,479",Group1,657,4.67,2.82,29,1.46
1270,RP23-242O9.1,"64,728",Group1,600,4.81,2.78,41,1.61
1271,Cep126,"57,835",Group1,421,4.76,2.62,61,1.79
1272,Cept1,"45,544",Group1,252,4.66,2.4,44,1.64
1273,Rfwd2,"115,322",Group1,676,5.06,2.83,83,1.92
1274,Iqsec3,"100,747",Group1,"1,156",5,3.06,36,1.56
1275,Eml2,"30,063",Group1,498,4.48,2.7,29,1.46
1276,Dennd6a,"60,468",Group1,520,4.78,2.72,19,1.28
1277,Psme4,"108,637",Group1,654,5.04,2.82,29,1.46
1278,Plekhh2,"110,249",Group1,"1,350",5.04,3.13,42,1.62
1279,Osbpl10,"253,658",Group1,"3,624",5.4,3.56,59,1.77
1280,Kcnd3,"221,674",Group1,"2,145",5.35,3.33,93,1.97
1281,Fbxw4,"82,060",Group1,"1,172",4.91,3.07,60,1.78
1282,Ulk4,"321,848",Group1,"4,070",5.51,3.61,74,1.87
1283,Tet2,"81,462",Group1,778,4.91,2.89,15,1.18
1284,Cables1,"106,412",Group1,"1,386",5.03,3.14,29,1.46
1285,Arhgef10l,"151,529",Group1,"2,465",5.18,3.39,27,1.43
1286,Igsf21,"219,940",Group1,"3,466",5.34,3.54,65,1.81
1287,Nrg3,"1,104,138",Group1,"4,905",6.04,3.69,119,2.08
1288,Wwp1,"100,692",Group1,775,5,2.89,55,1.74
1289,Grid1,"763,273",Group1,"5,657",5.88,3.75,145,2.16
1290,Elmo1,"517,759",Group1,"4,509",5.71,3.65,44,1.64
1291,Yeats2,"91,512",Group1,891,4.96,2.95,40,1.6
1292,Elovl6,"106,142",Group1,"1,593",5.03,3.2,33,1.52
1293,Arhgap12,"111,673",Group1,737,5.05,2.87,41,1.61
1294,Dmxl2,"136,470",Group1,"1,027",5.14,3.01,104,2.02
1295,Tox,"305,206",Group1,"2,202",5.48,3.34,18,1.26
1296,Sntb2,"83,966",Group1,791,4.92,2.9,50,1.7
1297,Shtn1,"102,713",Group1,"1,113",5.01,3.05,24,1.38
1298,Mfsd6,"71,178",Group1,611,4.85,2.79,24,1.38
1299,Arhgap32,"152,312",Group1,"1,264",5.18,3.1,10,1
1300,Stx3,"44,287",Group1,459,4.65,2.66,37,1.57
1301,Sox5,"953,554",Group1,"10,386",5.98,4.02,73,1.86
1302,Ptchd2,"47,703",Group1,826,4.68,2.92,58,1.76
1303,L3mbtl4,"504,166",Group1,"3,585",5.7,3.55,43,1.63
1304,Camsap2,"77,983",Group1,865,4.89,2.94,43,1.63
1305,Sdk2,"290,674",Group1,"4,164",5.46,3.62,71,1.85
1306,Bicdl1,"83,448",Group1,"1,137",4.92,3.06,199,2.3
1307,Gcn1l1,"57,402",Group1,"1,271",4.76,3.1,46,1.66
1308,Ddx24,"17,850",Group1,227,4.25,2.36,32,1.51
1309,Pcca,"356,778",Group1,"2,201",5.55,3.34,38,1.58
1310,Slc39a11,"405,228",Group1,"6,340",5.61,3.8,54,1.73
1311,Rims1,"519,745",Group1,"3,350",5.72,3.53,60,1.78
1312,Fcho2,"92,048",Group1,725,4.96,2.86,38,1.58
1313,Pi4ka,"125,965",Group1,979,5.1,2.99,24,1.38
1314,Plekha6,"139,227",Group1,"1,901",5.14,3.28,77,1.89
1315,Slc24a4,"138,360",Group1,"1,442",5.14,3.16,46,1.66
1316,Myrip,"173,330",Group1,"2,172",5.24,3.34,14,1.15
1317,Ptpre,"148,814",Group1,"1,762",5.17,3.25,16,1.2
1318,Tcf20,"179,438",Group1,"2,071",5.25,3.32,48,1.68
1319,Ipo9,"48,189",Group1,519,4.68,2.72,52,1.72
1320,Gpr45,"82,586",Group1,661,4.92,2.82,29,1.46
1321,Nol4,"348,474",Group1,"2,197",5.54,3.34,23,1.36
1322,Pkp2,"59,396",Group1,474,4.77,2.68,39,1.59
1323,Znrf3,"168,525",Group1,"1,135",5.23,3.05,81,1.91
1324,Arhgef11,"120,477",Group1,980,5.08,2.99,73,1.86
1325,Rapgef5,"243,260",Group1,"1,981",5.39,3.3,19,1.28
1326,Tlk1,"113,323",Group1,897,5.05,2.95,63,1.8
1327,Myo3b,"390,074",Group1,"3,937",5.59,3.6,21,1.32
1328,Svop,"64,662",Group1,"1,009",4.81,3,17,1.23
1329,Arsb,"171,388",Group1,"1,611",5.23,3.21,28,1.45
1330,Uggt2,"114,393",Group1,"1,035",5.06,3.01,52,1.72
1331,Msantd2,"35,308",Group1,363,4.55,2.56,51,1.71
1332,Dzip1,"49,942",Group1,944,4.7,2.97,27,1.43
1333,Papd4,"46,105",Group1,300,4.66,2.48,41,1.61
1334,Bend6,"55,766",Group1,668,4.75,2.82,125,2.1
1335,Zfp451,"53,052",Group1,579,4.72,2.76,33,1.52
1336,Sgsm1,"67,568",Group1,"1,131",4.83,3.05,36,1.56
1337,Adrbk2,"105,311",Group1,"1,457",5.02,3.16,13,1.11
1338,Ptchd4,"191,796",Group1,"1,097",5.28,3.04,14,1.15
1339,Sestd1,"100,254",Group1,"1,017",5,3.01,72,1.86
1340,Ttc19,"46,980",Group1,426,4.67,2.63,66,1.82
1341,Ehbp1,"336,466",Group1,"2,465",5.53,3.39,7,0.85
1342,Sgsm3,"34,527",Group1,408,4.54,2.61,39,1.59
1343,Specc1,"266,252",Group1,"2,417",5.43,3.38,30,1.48
1344,Arl15,"362,958",Group1,"5,040",5.56,3.7,55,1.74
1345,Arel1,"52,754",Group1,562,4.72,2.75,44,1.64
1346,Osbpl6,"194,141",Group1,"2,176",5.29,3.34,61,1.79
1347,Crtac1,"148,748",Group1,"2,278",5.17,3.36,125,2.1
1348,Mgat3,"41,800",Group1,526,4.62,2.72,91,1.96
1349,Fam63b,"58,162",Group1,390,4.76,2.59,55,1.74
1350,Zmym4,"106,198",Group1,793,5.03,2.9,22,1.34
1351,Reln,"460,250",Group1,"4,127",5.66,3.62,113,2.05
1352,Cpa6,"395,227",Group1,"2,008",5.6,3.3,13,1.11
1353,Ubap2l,"52,490",Group1,341,4.72,2.53,67,1.83
1354,Dnal1,"33,134",Group1,372,4.52,2.57,28,1.45
1355,Asxl1,"58,180",Group1,571,4.76,2.76,41,1.61
1356,Thsd7b,"945,978",Group1,"4,618",5.98,3.66,13,1.11
1357,Cux2,"193,738",Group1,"3,723",5.29,3.57,111,2.05
1358,Ipo11,"142,521",Group1,"1,333",5.15,3.12,44,1.64
1359,Atxn2,"105,158",Group1,"1,140",5.02,3.06,33,1.52
1360,Jph1,"133,331",Group1,838,5.12,2.92,36,1.56
1361,Commd10,"129,132",Group1,"1,144",5.11,3.06,39,1.59
1362,Sgtb,"31,996",Group1,403,4.51,2.61,73,1.86
1363,AC126938.1,"148,360",Group1,"1,782",5.17,3.25,21,1.32
1364,Nmnat2,"164,270",Group1,"1,937",5.22,3.29,33,1.52
1365,Tmem108,"278,892",Group1,"3,182",5.45,3.5,49,1.69
1366,Hecw2,"388,294",Group1,"2,877",5.59,3.46,19,1.28
1367,Lrrtm3,"161,807",Group1,"1,342",5.21,3.13,29,1.46
1368,Greb1l,"237,759",Group1,"1,670",5.38,3.22,39,1.59
1369,Disc1,"207,665",Group1,"2,588",5.32,3.41,61,1.79
1370,Dpy19l1,"91,366",Group1,845,4.96,2.93,99,2
1371,Ppp2r3a,"146,713",Group1,"1,020",5.17,3.01,36,1.56
1372,Fam13c,"118,257",Group1,"1,473",5.07,3.17,37,1.57
1373,Mei4,"342,339",Group1,"1,944",5.53,3.29,29,1.46
1374,Kcnj6,"249,067",Group1,"2,876",5.4,3.46,42,1.62
1375,Fbrsl1,"86,751",Group1,"1,287",4.94,3.11,55,1.74
1376,RP23-245B21.4,"45,622",Group1,525,4.66,2.72,74,1.87
1377,Zfp536,"301,508",Group1,"3,860",5.48,3.59,44,1.64
1378,Sorcs1,"535,349",Group1,"4,096",5.73,3.61,59,1.77
1379,Zc2hc1a,"50,355",Group1,386,4.7,2.59,36,1.56
1380,Fbxl7,"355,123",Group1,"2,612",5.55,3.42,48,1.68
1381,Adamts3,"206,249",Group1,"1,545",5.31,3.19,74,1.87
1382,Tox3,"101,305",Group1,"1,134",5.01,3.05,79,1.9
1383,Dpy19l3,"69,291",Group1,"1,046",4.84,3.02,52,1.72
1384,Ptpn11,"60,866",Group1,807,4.78,2.91,55,1.74
1385,Wdfy3,"236,967",Group1,"3,612",5.37,3.56,63,1.8
1386,Fmn1,"389,033",Group1,"3,151",5.59,3.5,31,1.49
1387,Fam19a2,"477,210",Group1,"3,584",5.68,3.55,21,1.32
1388,Eml6,"282,987",Group1,"1,751",5.45,3.24,40,1.6
1389,RP23-231E23.4,"114,898",Group1,773,5.06,2.89,15,1.18
1390,Dnajc21,"23,762",Group1,323,4.38,2.51,44,1.64
1391,Pced1b,"138,575",Group1,"2,240",5.14,3.35,91,1.96
1392,Osbpl1a,"186,529",Group1,"1,775",5.27,3.25,24,1.38
1393,Ubr3,"126,769",Group1,"1,022",5.1,3.01,39,1.59
1394,Phlpp1,"222,500",Group1,"1,704",5.35,3.23,53,1.72
1395,Snhg11,"10,509",Group1,159,4.02,2.2,26,1.41
1396,Cxxc4,"25,679",Group1,305,4.41,2.48,67,1.83
1397,Hs3st5,"327,585",Group1,"1,856",5.52,3.27,25,1.4
1398,Cnrip1,"27,787",Group1,145,4.44,2.16,9,0.95
1399,Zbtb7c,"328,385",Group1,"4,221",5.52,3.63,99,2
1400,Setd2,"86,038",Group1,737,4.93,2.87,80,1.9
1401,Syt16,"275,608",Group1,"2,147",5.44,3.33,42,1.62
1402,Prkce,"490,136",Group1,"6,675",5.69,3.82,131,2.12
1403,RP23-354A20.1,"135,230",Group1,"1,228",5.13,3.09,64,1.81
1404,Lingo2,"1,245,102",Group1,"5,918",6.1,3.77,53,1.72
1405,Magi1,"608,464",Group1,"5,807",5.78,3.76,66,1.82
1406,Lrrc3b,"81,474",Group1,551,4.91,2.74,15,1.18
1407,Asxl3,"185,346",Group1,"1,137",5.27,3.06,178,2.25
1408,Rtn4rl1,"73,988",Group1,"1,123",4.87,3.05,67,1.83
1409,Zfp423,"297,787",Group1,"4,003",5.47,3.6,149,2.17
1410,Gprin3,"79,070",Group1,372,4.9,2.57,26,1.41
1411,Trrap,"92,048",Group1,"1,676",4.96,3.22,41,1.61
1412,Frrs1l,"33,220",Group1,431,4.52,2.63,29,1.46
1413,Chrm2,"140,332",Group1,926,5.15,2.97,30,1.48
1414,Pid1,"327,886",Group1,"2,186",5.52,3.34,19,1.28
1415,Plekha7,"184,893",Group1,"2,516",5.27,3.4,46,1.66
1416,Ccdc149,"96,872",Group1,"1,045",4.99,3.02,47,1.67
1417,Adra1a,"135,919",Group1,"1,284",5.13,3.11,24,1.38
1418,Gpr158,"463,007",Group1,"2,307",5.67,3.36,21,1.32
1419,Lrrc8d,"132,469",Group1,"2,216",5.12,3.35,63,1.8
1420,Chrm3,"485,363",Group1,"2,899",5.69,3.46,33,1.52
1421,Nxph1,"300,603",Group1,"1,842",5.48,3.27,32,1.51
1422,Gsg1l,"203,993",Group1,"2,321",5.31,3.37,48,1.68
1423,Vps13a,"165,569",Group1,"1,205",5.22,3.08,71,1.85
1424,Stxbp6,"222,227",Group1,"1,626",5.35,3.21,36,1.56
1425,Ccbe1,"257,439",Group1,"2,405",5.41,3.38,8,0.9
1426,Hs3st2,"109,913",Group1,"1,148",5.04,3.06,29,1.46
1427,Ppm1e,"132,119",Group1,"1,366",5.12,3.14,51,1.71
1428,Csnk2a2,"43,945",Group1,515,4.64,2.71,18,1.26
1429,Mapk10,"303,388",Group1,"2,955",5.48,3.47,29,1.46
1430,Vat1l,"168,461",Group1,"1,601",5.23,3.2,40,1.6
1431,Atxn1,"415,255",Group1,"4,724",5.62,3.67,107,2.03
1432,Fbxo41,"33,422",Group1,545,4.52,2.74,33,1.52
1433,Cltc,"63,216",Group1,477,4.8,2.68,74,1.87
1434,Chst9,"308,235",Group1,"2,028",5.49,3.31,32,1.51
1435,Gap43,"92,211",Group1,692,4.96,2.84,21,1.32
1436,Dlgap2,"751,817",Group1,"7,661",5.88,3.88,61,1.79
1437,Ust,"314,071",Group1,"3,088",5.5,3.49,47,1.67
1438,Wbp1l,"58,307",Group1,"1,082",4.77,3.03,36,1.56
1439,Rnf150,"227,914",Group1,"1,908",5.36,3.28,19,1.28
1440,Lrrc49,"119,301",Group1,"1,040",5.08,3.02,23,1.36
1441,Ankfn1,"387,432",Group1,"3,638",5.59,3.56,18,1.26
1442,Tnrc6b,"229,774",Group1,"1,895",5.36,3.28,48,1.68
1443,Tshz2,"438,805",Group1,"6,595",5.64,3.82,29,1.46
1444,Tmem196,"75,426",Group1,363,4.88,2.56,12,1.08
1445,Ldlrad3,"236,184",Group1,"2,865",5.37,3.46,31,1.49
1446,Tenm4,"739,849",Group1,"7,152",5.87,3.85,10,1
1447,Sacs,"102,240",Group1,"1,056",5.01,3.02,20,1.3
1448,Frmd6,"76,722",Group1,"1,095",4.88,3.04,69,1.84
1449,Lhfp,"220,153",Group1,"2,303",5.34,3.36,43,1.63
1450,Zfp407,"461,700",Group1,"4,643",5.66,3.67,56,1.75
1451,Lurap1l,"44,984",Group1,422,4.65,2.63,17,1.23
1452,Foxo3,"94,916",Group1,"1,623",4.98,3.21,180,2.26
1453,Vstm2a,"169,588",Group1,"1,019",5.23,3.01,42,1.62
1454,Rnf24,"54,830",Group1,468,4.74,2.67,44,1.64
1455,Efna5,"277,135",Group1,"3,296",5.44,3.52,162,2.21
1456,Prex2,"310,218",Group1,"1,784",5.49,3.25,21,1.32
1457,Rapgef4,"276,236",Group1,"3,098",5.44,3.49,59,1.77
1458,Gpr137c,"63,010",Group1,446,4.8,2.65,56,1.75
1459,Dcaf5,"100,755",Group1,"1,076",5,3.03,61,1.79
1460,Fam110b,"464,135",Group1,"2,963",5.67,3.47,22,1.34
1461,Frmd3,"188,774",Group1,881,5.28,2.94,26,1.41
1462,Plcxd3,"200,064",Group1,"1,123",5.3,3.05,22,1.34
1463,Lrp1b,"2,058,380",Group1,"9,979",6.31,4,16,1.2
1464,Sorl1,"159,579",Group1,"2,241",5.2,3.35,48,1.68
1465,Tenm2,"1,229,310",Group1,"10,425",6.09,4.02,101,2
1466,Tmem200a,"166,723",Group1,"1,413",5.22,3.15,15,1.18
1467,Clip1,"106,825",Group1,"1,555",5.03,3.19,27,1.43
1468,Lingo1,"177,995",Group1,"2,195",5.25,3.34,80,1.9
1469,Grm5,"550,741",Group1,"2,472",5.74,3.39,11,1.04
1470,Slc17a5,"51,555",Group1,801,4.71,2.9,37,1.57
1471,Bdp1,"86,078",Group1,698,4.93,2.84,39,1.59
1472,Nckap5,"917,181",Group1,"6,884",5.96,3.84,29,1.46
1473,Arhgap15,"647,131",Group1,"4,705",5.81,3.67,19,1.28
1474,Arhgap23,"86,871",Group1,"1,471",4.94,3.17,37,1.57
1475,Rlf,"69,713",Group1,688,4.84,2.84,35,1.54
1476,Glt1d1,"77,114",Group1,"1,052",4.89,3.02,31,1.49
1477,Zfp697,"371,353",Group1,"2,317",5.57,3.36,41,1.61
1478,Kcnk12,"52,159",Group1,955,4.72,2.98,86,1.93
1479,Lgr4,"96,612",Group1,996,4.99,3,28,1.45
1480,Pla2g4e,"78,925",Group1,836,4.9,2.92,21,1.32
1481,Dscam,"578,675",Group1,"3,795",5.76,3.58,41,1.61
1482,Lrrc4c,"1,313,499",Group1,"6,173",6.12,3.79,17,1.23
1483,Zfp831,"67,300",Group1,810,4.83,2.91,8,0.9
1484,Trhde,"403,486",Group1,"2,587",5.61,3.41,39,1.59
1485,Arhgap42,"244,774",Group1,"1,500",5.39,3.18,34,1.53
1486,Htr1f,"181,127",Group1,"1,499",5.26,3.18,25,1.4
1487,Cdh20,"226,954",Group1,"1,382",5.36,3.14,22,1.34
1488,Creg2,"33,070",Group1,407,4.52,2.61,23,1.36
1489,Mb21d2,"103,499",Group1,"1,753",5.01,3.24,86,1.93
1490,Mblac2,"41,936",Group1,380,4.62,2.58,67,1.83
1491,Sv2c,"177,985",Group1,"1,871",5.25,3.27,78,1.89
1492,Plcb1,"689,193",Group1,"4,535",5.84,3.66,30,1.48
1493,Ncald,"426,397",Group1,"3,888",5.63,3.59,32,1.51
1494,Kctd16,"272,809",Group1,"1,502",5.44,3.18,54,1.73
1495,Usp29,"236,643",Group1,"2,048",5.37,3.31,89,1.95
1496,Mical3,"199,294",Group1,"3,355",5.3,3.53,32,1.51
1497,Dcun1d4,"79,796",Group1,"1,124",4.9,3.05,34,1.53
1498,Tbc1d22a,"284,046",Group1,"2,961",5.45,3.47,69,1.84
1499,Sox6,"567,926",Group1,"4,015",5.75,3.6,77,1.89
1500,B3glct,"84,371",Group1,"1,230",4.93,3.09,34,1.53
1501,Xkr4,"465,599",Group1,"2,266",5.67,3.36,103,2.01
1502,Pard3b,"1,003,462",Group1,"6,533",6,3.82,38,1.58
1503,Mtcl1,"112,770",Group1,"2,039",5.05,3.31,86,1.93
1504,Bre,"387,280",Group1,"2,736",5.59,3.44,31,1.49
1505,Acvr2a,"89,162",Group1,553,4.95,2.74,106,2.03
1506,Ankrd44,"281,049",Group1,"2,395",5.45,3.38,55,1.74
1507,Cemip,"153,647",Group1,"1,106",5.19,3.04,43,1.63
1508,Actn2,"71,336",Group1,880,4.85,2.94,29,1.46
1509,Bmpr1b,"332,291",Group1,"2,591",5.52,3.41,38,1.58
1510,AC140724.2,"316,798",Group1,"1,531",5.5,3.18,101,2
1511,Epha3,"320,643",Group1,"1,945",5.51,3.29,34,1.53
1512,Nav2,"701,376",Group1,"8,125",5.85,3.91,19,1.28
1513,Robo2,"519,988",Group1,"3,263",5.72,3.51,49,1.69
1514,Magi3,"207,117",Group1,"1,304",5.32,3.12,57,1.76
1515,Adarb2,"565,883",Group1,"4,092",5.75,3.61,17,1.23
1516,Cpne8,"191,952",Group1,"1,889",5.28,3.28,71,1.85
1517,Dlg2,"1,972,577",Group1,"10,369",6.3,4.02,73,1.86
1518,Lrrtm4,"791,268",Group1,"3,842",5.9,3.58,13,1.11
1519,Pcdh15,"1,550,397",Group1,"8,939",6.19,3.95,69,1.84
1520,Asap2,"279,714",Group1,"3,003",5.45,3.48,45,1.65
1521,Tln2,"342,618",Group1,"3,255",5.53,3.51,24,1.38
1522,Tnrc6a,"71,413",Group1,694,4.85,2.84,18,1.26
1523,Kcnt2,"365,911",Group1,"1,683",5.56,3.23,38,1.58
1524,Reep1,"103,151",Group1,"1,095",5.01,3.04,26,1.41
1525,Prkcb,"345,653",Group1,"3,829",5.54,3.58,15,1.18
1526,Prkg1,"1,197,484",Group1,"8,503",6.08,3.93,22,1.34
1527,Ctif,"266,474",Group1,"3,508",5.43,3.55,49,1.69
1528,Glis3,"421,228",Group1,"4,653",5.62,3.67,50,1.7
1529,Sv2b,"194,370",Group1,"1,441",5.29,3.16,25,1.4
1530,Brsk2,"54,498",Group1,644,4.74,2.81,52,1.72
1531,Chmp3,"38,814",Group1,319,4.59,2.5,16,1.2
1532,Ptprt,"1,139,159",Group1,"8,111",6.06,3.91,65,1.81
1533,Cdh22,"123,348",Group1,"2,141",5.09,3.33,57,1.76
1534,Ddx10,"149,420",Group1,809,5.17,2.91,45,1.65
1535,Hunk,"113,542",Group1,"1,799",5.06,3.26,67,1.83
1536,Hs6st3,"731,476",Group1,"6,507",5.86,3.81,115,2.06
1537,Kdm3a,"44,020",Group1,385,4.64,2.59,50,1.7
1538,Kcnip1,"363,815",Group1,"3,536",5.56,3.55,24,1.38
1539,3110082I17Rik,"100,790",Group1,"1,628",5,3.21,33,1.52
1540,Tanc2,"339,320",Group1,"1,858",5.53,3.27,107,2.03
1541,Sh3pxd2a,"204,239",Group1,"3,313",5.31,3.52,71,1.85
1542,Dennd4a,"108,329",Group1,879,5.03,2.94,33,1.52
1543,Mast1,"25,458",Group1,580,4.41,2.76,37,1.57
1544,Nebl,"387,557",Group1,"2,832",5.59,3.45,29,1.46
1545,Chchd3,"269,286",Group1,"2,023",5.43,3.31,33,1.52
1546,Exoc6,"132,829",Group1,"1,556",5.12,3.19,41,1.61
1547,Camk2d,"250,026",Group1,"2,238",5.4,3.35,25,1.4
1548,Shisa6,"314,241",Group1,"2,150",5.5,3.33,161,2.21
1549,Ercc6,"67,471",Group1,733,4.83,2.87,41,1.61
1550,Spock3,"406,096",Group1,"1,815",5.61,3.26,14,1.15
1551,Lifr,"106,877",Group1,"1,548",5.03,3.19,17,1.23
1552,Prr14l,"64,438",Group1,579,4.81,2.76,31,1.49
1553,Cadps,"450,518",Group1,"3,126",5.65,3.49,28,1.45
1554,Tmem120b,"49,336",Group1,744,4.69,2.87,33,1.52
1555,Vsnl1,"111,373",Group1,749,5.05,2.87,71,1.85
1556,Kcnn2,"417,166",Group1,"3,014",5.62,3.48,49,1.69
1557,Adam12,"348,949",Group1,"3,031",5.54,3.48,41,1.61
1558,Slc8a1,"260,918",Group1,"2,015",5.42,3.3,8,0.9
1559,Adam10,"101,234",Group1,570,5.01,2.76,59,1.77
1560,Lrrc8c,"93,632",Group1,"1,134",4.97,3.05,66,1.82
1561,Phactr1,"457,905",Group1,"4,850",5.66,3.69,14,1.15
1562,Nsd3,"118,068",Group1,"1,376",5.07,3.14,36,1.56
1563,Atrnl1,"522,306",Group1,"6,187",5.72,3.79,105,2.02
1564,Fam19a5,"215,067",Group1,"2,583",5.33,3.41,73,1.86
1565,RP23-411B7.2,"110,705",Group1,"1,096",5.04,3.04,64,1.81
1566,Fam73a,"66,560",Group1,"1,115",4.82,3.05,39,1.59
1567,Nyap2,"264,816",Group1,"1,349",5.42,3.13,15,1.18
1568,Agap1,"442,813",Group1,"6,273",5.65,3.8,86,1.93
1569,Cntn1,"290,804",Group1,"2,254",5.46,3.35,30,1.48
1570,Gabrg3,"670,725",Group1,"3,876",5.83,3.59,20,1.3
1571,Arntl,"106,663",Group1,"1,195",5.03,3.08,60,1.78
1572,Ankrd17,"139,413",Group1,"1,013",5.14,3.01,64,1.81
1573,Pld5,"313,008",Group1,"2,210",5.5,3.34,57,1.76
1574,Ntrk2,"327,403",Group1,"4,135",5.52,3.62,50,1.7
1575,Tmem245,"80,516",Group1,864,4.91,2.94,33,1.52
